"time","ano","CA","CV","partida"
"Atalanta",2013,43,6,"visitante"
"Atalanta",2014,54,2,"visitante"
"Atalanta",2015,54,10,"visitante"
"Atalanta",2016,45,3,"visitante"
"Atalanta",2017,37,2,"visitante"
"Atalanta",2018,33,3,"visitante"
"Atalanta",2019,40,1,"visitante"
"Athletic Bilbao",2006,44,4,"visitante"
"Athletic Bilbao",2007,51,5,"visitante"
"Athletic Bilbao",2008,46,7,"visitante"
"Athletic Bilbao",2009,58,6,"visitante"
"Athletic Bilbao",2010,46,2,"visitante"
"Athletic Bilbao",2011,53,2,"visitante"
"Athletic Bilbao",2012,62,6,"visitante"
"Athletic Bilbao",2013,40,1,"visitante"
"Athletic Bilbao",2014,48,3,"visitante"
"Athletic Bilbao",2015,47,3,"visitante"
"Athletic Bilbao",2016,47,2,"visitante"
"Athletic Bilbao",2017,56,0,"visitante"
"Athletic Bilbao",2018,57,3,"visitante"
"Athletic Bilbao",2019,38,1,"visitante"
"Athletico-PR",2013,0,0,NA
"Athletico-PR",2014,0,0,NA
"Athletico-PR",2015,0,0,NA
"Athletico-PR",2016,0,0,NA
"Athletico-PR",2017,0,0,NA
"Athletico-PR",2018,0,0,NA
"Athletico-PR",2019,0,0,NA
"Athletico-PR",2020,0,0,NA
"Atlético de Madrid",2006,63,3,"visitante"
"Atlético de Madrid",2007,56,1,"visitante"
"Atlético de Madrid",2008,54,2,"visitante"
"Atlético de Madrid",2009,43,6,"visitante"
"Atlético de Madrid",2010,55,0,"visitante"
"Atlético de Madrid",2011,71,3,"visitante"
"Atlético de Madrid",2012,51,3,"visitante"
"Atlético de Madrid",2013,56,3,"visitante"
"Atlético de Madrid",2014,64,3,"visitante"
"Atlético de Madrid",2015,43,3,"visitante"
"Atlético de Madrid",2016,48,1,"visitante"
"Atlético de Madrid",2017,46,3,"visitante"
"Atlético de Madrid",2018,51,4,"visitante"
"Atlético de Madrid",2019,57,1,"visitante"
"Atlético-GO",2012,0,0,NA
"Atlético-GO",2017,0,0,NA
"Atlético-GO",2020,0,0,NA
"Atlético-MG",2012,0,0,NA
"Atlético-MG",2013,0,0,NA
"Atlético-MG",2014,0,0,NA
"Atlético-MG",2015,0,0,NA
"Atlético-MG",2016,0,0,NA
"Atlético-MG",2017,0,0,NA
"Atlético-MG",2018,0,0,NA
"Atlético-MG",2019,0,0,NA
"Atlético-MG",2020,0,0,NA
"Avaí-SC",2015,0,0,NA
"Avaí-SC",2017,0,0,NA
"Avaí-SC",2019,0,0,NA
"Bahia-BA",2012,0,0,NA
"Bahia-BA",2013,0,0,NA
"Bahia-BA",2014,0,0,NA
"Bahia-BA",2017,0,0,NA
"Bahia-BA",2018,0,0,NA
"Bahia-BA",2019,0,0,NA
"Bahia-BA",2020,0,0,NA
"Barcelona",2006,45,3,"visitante"
"Barcelona",2007,39,3,"visitante"
"Barcelona",2008,35,3,"visitante"
"Barcelona",2009,45,2,"visitante"
"Barcelona",2010,36,2,"visitante"
"Barcelona",2011,38,2,"visitante"
"Barcelona",2012,39,3,"visitante"
"Barcelona",2013,44,0,"visitante"
"Barcelona",2014,35,1,"visitante"
"Barcelona",2015,40,0,"visitante"
"Barcelona",2016,43,1,"visitante"
"Barcelona",2017,37,1,"visitante"
"Barcelona",2018,44,0,"visitante"
"Barcelona",2019,46,3,"visitante"
"Bari",2009,35,3,"visitante"
"Bari",2010,43,1,"visitante"
"Benevento",2017,40,5,"visitante"
"Betis",2006,48,5,"visitante"
"Betis",2007,54,2,"visitante"
"Betis",2008,56,1,"visitante"
"Betis",2011,52,6,"visitante"
"Betis",2012,52,3,"visitante"
"Betis",2013,52,3,"visitante"
"Betis",2015,46,2,"visitante"
"Betis",2016,52,3,"visitante"
"Betis",2017,57,2,"visitante"
"Betis",2018,42,1,"visitante"
"Betis",2019,50,3,"visitante"
"Birmingham",2007,40,1,"visitante"
"Birmingham",2009,38,0,"visitante"
"Birmingham",2010,33,1,"visitante"
"Blackburn",2006,40,3,"visitante"
"Blackburn",2007,41,2,"visitante"
"Blackburn",2008,46,3,"visitante"
"Blackburn",2009,31,1,"visitante"
"Blackburn",2010,41,3,"visitante"
"Blackburn",2011,29,4,"visitante"
"Blackpool",2010,25,2,"visitante"
"Bologna",2008,45,1,"visitante"
"Bologna",2009,39,2,"visitante"
"Bologna",2010,46,2,"visitante"
"Bologna",2011,51,0,"visitante"
"Bologna",2012,57,3,"visitante"
"Bologna",2013,48,2,"visitante"
"Bologna",2015,39,5,"visitante"
"Bologna",2016,46,6,"visitante"
"Bologna",2017,52,5,"visitante"
"Bologna",2018,57,4,"visitante"
"Bologna",2019,57,2,"visitante"
"Bolton",2006,53,4,"visitante"
"Bolton",2007,44,0,"visitante"
"Bolton",2008,39,1,"visitante"
"Bolton",2009,41,3,"visitante"
"Bolton",2010,38,1,"visitante"
"Bolton",2011,28,3,"visitante"
"Botafogo-RJ",2012,0,0,NA
"Botafogo-RJ",2013,0,0,NA
"Botafogo-RJ",2014,0,0,NA
"Botafogo-RJ",2016,0,0,NA
"Botafogo-RJ",2017,0,0,NA
"Botafogo-RJ",2018,0,0,NA
"Botafogo-RJ",2019,0,0,NA
"Botafogo-RJ",2020,0,0,NA
"Bragantino-SP",2020,0,0,NA
"Brescia",2010,48,3,"visitante"
"Brescia",2019,47,2,"visitante"
"Brighton",2017,17,1,"visitante"
"Brighton",2018,30,2,"visitante"
"Brighton",2019,29,1,"visitante"
"Burnley",2009,37,2,"visitante"
"Burnley",2014,31,2,"visitante"
"Burnley",2016,30,2,"visitante"
"Burnley",2017,38,0,"visitante"
"Burnley",2018,42,1,"visitante"
"Burnley",2019,37,0,"visitante"
"Cagliari",2006,39,4,"visitante"
"Cagliari",2007,46,0,"visitante"
"Cagliari",2008,47,2,"visitante"
"Cagliari",2009,46,5,"visitante"
"Cagliari",2010,39,0,"visitante"
"Cagliari",2011,41,0,"visitante"
"Cagliari",2012,60,4,"visitante"
"Cagliari",2013,48,4,"visitante"
"Cagliari",2014,50,5,"visitante"
"Cagliari",2016,50,5,"visitante"
"Cagliari",2017,46,3,"visitante"
"Cagliari",2018,49,5,"visitante"
"Cagliari",2019,54,4,"visitante"
"Cagliari",2020,3,0,"visitante"
"Cardiff",2013,24,1,"visitante"
"Cardiff",2018,32,1,"visitante"
"Carpi",2015,55,3,"visitante"
"Catania",2006,47,6,"visitante"
"Catania",2007,50,3,"visitante"
"Catania",2008,38,3,"visitante"
"Catania",2009,46,3,"visitante"
"Catania",2010,36,3,"visitante"
"Catania",2011,40,5,"visitante"
"Catania",2012,45,2,"visitante"
"Catania",2013,49,6,"visitante"
"Ceará-CE",2018,0,0,NA
"Ceará-CE",2019,0,0,NA
"Ceará-CE",2020,0,0,NA
"Celta de Vigo",2006,51,5,"visitante"
"Celta de Vigo",2012,48,2,"visitante"
"Celta de Vigo",2013,40,3,"visitante"
"Celta de Vigo",2014,67,2,"visitante"
"Celta de Vigo",2015,66,5,"visitante"
"Celta de Vigo",2016,52,6,"visitante"
"Celta de Vigo",2017,45,1,"visitante"
"Celta de Vigo",2018,42,4,"visitante"
"Celta de Vigo",2019,52,1,"visitante"
"Cesena",2010,39,6,"visitante"
"Cesena",2011,44,5,"visitante"
"Cesena",2014,51,2,"visitante"
"Chapecoense-SC",2014,0,0,NA
"Chapecoense-SC",2015,0,0,NA
"Chapecoense-SC",2016,0,0,NA
"Chapecoense-SC",2017,0,0,NA
"Chapecoense-SC",2018,0,0,NA
"Chapecoense-SC",2019,0,0,NA
"Charlton",2006,29,3,"visitante"
"Chelsea",2006,39,3,"visitante"
"Chelsea",2007,34,3,"visitante"
"Chelsea",2008,32,3,"visitante"
"Chelsea",2009,39,3,"visitante"
"Chelsea",2010,32,0,"visitante"
"Chelsea",2011,44,3,"visitante"
"Chelsea",2012,33,1,"visitante"
"Chelsea",2013,34,3,"visitante"
"Chelsea",2014,41,3,"visitante"
"Chelsea",2015,31,3,"visitante"
"Chelsea",2016,40,0,"visitante"
"Chelsea",2017,22,1,"visitante"
"Chelsea",2018,29,0,"visitante"
"Chelsea",2019,30,0,"visitante"
"Chievo",2006,34,7,"visitante"
"Chievo",2008,41,4,"visitante"
"Chievo",2009,55,2,"visitante"
"Chievo",2010,43,1,"visitante"
"Chievo",2011,49,0,"visitante"
"Chievo",2012,53,2,"visitante"
"Chievo",2013,51,1,"visitante"
"Chievo",2014,41,1,"visitante"
"Chievo",2015,53,4,"visitante"
"Chievo",2016,44,3,"visitante"
"Chievo",2017,41,1,"visitante"
"Chievo",2018,56,3,"visitante"
"Córdoba",2014,54,6,"visitante"
"Corinthians-SP",2012,0,0,NA
"Corinthians-SP",2013,0,0,NA
"Corinthians-SP",2014,0,0,NA
"Corinthians-SP",2015,0,0,NA
"Corinthians-SP",2016,0,0,NA
"Corinthians-SP",2017,0,0,NA
"Corinthians-SP",2018,0,0,NA
"Corinthians-SP",2019,0,0,NA
"Corinthians-SP",2020,0,0,NA
"Coritiba-PR",2012,0,0,NA
"Coritiba-PR",2013,0,0,NA
"Coritiba-PR",2014,0,0,NA
"Coritiba-PR",2015,0,0,NA
"Coritiba-PR",2016,0,0,NA
"Coritiba-PR",2017,0,0,NA
"Coritiba-PR",2020,0,0,NA
"Criciúma-SC",2013,0,0,NA
"Criciúma-SC",2014,0,0,NA
"Crotone",2016,47,3,"visitante"
"Crotone",2017,38,1,"visitante"
"Cruzeiro-MG",2012,0,0,NA
"Cruzeiro-MG",2013,0,0,NA
"Cruzeiro-MG",2014,0,0,NA
"Cruzeiro-MG",2015,0,0,NA
"Cruzeiro-MG",2016,0,0,NA
"Cruzeiro-MG",2017,0,0,NA
"Cruzeiro-MG",2018,0,0,NA
"Cruzeiro-MG",2019,0,0,NA
"Crystal Palace",2013,34,2,"visitante"
"Crystal Palace",2014,37,2,"visitante"
"Crystal Palace",2015,28,0,"visitante"
"Crystal Palace",2016,45,0,"visitante"
"Crystal Palace",2017,33,0,"visitante"
"Crystal Palace",2018,33,1,"visitante"
"Crystal Palace",2019,27,1,"visitante"
"CSA-AL",2019,0,0,NA
"Derby",2007,35,0,"visitante"
"Eibar",2014,48,3,"visitante"
"Eibar",2015,54,3,"visitante"
"Eibar",2016,57,4,"visitante"
"Eibar",2017,45,1,"visitante"
"Eibar",2018,43,1,"visitante"
"Eibar",2019,40,2,"visitante"
"Elche",2013,51,5,"visitante"
"Elche",2014,48,3,"visitante"
"Empoli",2006,30,1,"visitante"
"Empoli",2007,41,4,"visitante"
"Empoli",2014,33,1,"visitante"
"Empoli",2015,57,4,"visitante"
"Empoli",2016,54,1,"visitante"
"Empoli",2018,37,3,"visitante"
"Espanyol",2006,55,4,"visitante"
"Espanyol",2007,56,4,"visitante"
"Espanyol",2008,56,2,"visitante"
"Espanyol",2009,58,8,"visitante"
"Espanyol",2010,59,4,"visitante"
"Espanyol",2011,61,6,"visitante"
"Espanyol",2012,88,6,"visitante"
"Espanyol",2013,44,2,"visitante"
"Espanyol",2014,60,4,"visitante"
"Espanyol",2015,64,2,"visitante"
"Espanyol",2016,45,1,"visitante"
"Espanyol",2017,53,1,"visitante"
"Espanyol",2018,52,1,"visitante"
"Espanyol",2019,59,7,"visitante"
"Everton",2006,33,2,"visitante"
"Everton",2007,29,0,"visitante"
"Everton",2008,26,0,"visitante"
"Everton",2009,37,1,"visitante"
"Everton",2010,29,2,"visitante"
"Everton",2011,37,0,"visitante"
"Everton",2012,31,2,"visitante"
"Everton",2013,27,0,"visitante"
"Everton",2014,39,2,"visitante"
"Everton",2015,21,4,"visitante"
"Everton",2016,35,1,"visitante"
"Everton",2017,23,2,"visitante"
"Everton",2018,31,4,"visitante"
"Everton",2019,38,3,"visitante"
"Figueirense-SC",2012,0,0,NA
"Figueirense-SC",2014,0,0,NA
"Figueirense-SC",2015,0,0,NA
"Figueirense-SC",2016,0,0,NA
"Fiorentina",2006,48,2,"visitante"
"Fiorentina",2007,40,2,"visitante"
"Fiorentina",2008,47,1,"visitante"
"Fiorentina",2009,47,3,"visitante"
"Fiorentina",2010,40,2,"visitante"
"Fiorentina",2011,58,2,"visitante"
"Fiorentina",2012,49,2,"visitante"
"Fiorentina",2013,43,2,"visitante"
"Fiorentina",2014,45,3,"visitante"
"Fiorentina",2015,58,1,"visitante"
"Fiorentina",2016,47,3,"visitante"
"Fiorentina",2017,48,4,"visitante"
"Fiorentina",2018,46,3,"visitante"
"Fiorentina",2019,55,2,"visitante"
"Fiorentina",2020,1,0,"visitante"
"Flamengo-RJ",2012,0,0,NA
"Flamengo-RJ",2013,0,0,NA
"Flamengo-RJ",2014,0,0,NA
"Flamengo-RJ",2015,0,0,NA
"Flamengo-RJ",2016,0,0,NA
"Flamengo-RJ",2017,0,0,NA
"Flamengo-RJ",2018,0,0,NA
"Flamengo-RJ",2019,0,0,NA
"Flamengo-RJ",2020,0,0,NA
"Fluminense-RJ",2012,0,0,NA
"Fluminense-RJ",2013,0,0,NA
"Fluminense-RJ",2014,0,0,NA
"Fluminense-RJ",2015,0,0,NA
"Fluminense-RJ",2016,0,0,NA
"Fluminense-RJ",2017,0,0,NA
"Fluminense-RJ",2018,0,0,NA
"Fluminense-RJ",2019,0,0,NA
"Fluminense-RJ",2020,0,0,NA
"Fortaleza-CE",2019,0,0,NA
"Fortaleza-CE",2020,0,0,NA
"Frosinone",2015,56,3,"visitante"
"Frosinone",2018,57,2,"visitante"
"Fulham",2006,33,0,"visitante"
"Fulham",2007,36,3,"visitante"
"Fulham",2008,17,0,"visitante"
"Fulham",2009,31,1,"visitante"
"Fulham",2010,23,0,"visitante"
"Fulham",2011,32,0,"visitante"
"Fulham",2012,28,0,"visitante"
"Fulham",2013,25,1,"visitante"
"Fulham",2018,34,1,"visitante"
"Genoa",2007,58,5,"visitante"
"Genoa",2008,48,2,"visitante"
"Genoa",2009,47,4,"visitante"
"Genoa",2010,30,2,"visitante"
"Genoa",2011,43,6,"visitante"
"Genoa",2012,48,4,"visitante"
"Genoa",2013,49,4,"visitante"
"Genoa",2014,56,4,"visitante"
"Genoa",2015,40,4,"visitante"
"Genoa",2016,41,3,"visitante"
"Genoa",2017,36,3,"visitante"
"Genoa",2018,49,3,"visitante"
"Genoa",2019,53,6,"visitante"
"Getafe",2006,53,1,"visitante"
"Getafe",2007,39,5,"visitante"
"Getafe",2008,61,3,"visitante"
"Getafe",2009,67,4,"visitante"
"Getafe",2010,57,2,"visitante"
"Getafe",2011,56,4,"visitante"
"Getafe",2012,60,4,"visitante"
"Getafe",2013,57,4,"visitante"
"Getafe",2014,45,3,"visitante"
"Getafe",2015,63,5,"visitante"
"Getafe",2017,69,2,"visitante"
"Getafe",2018,67,3,"visitante"
"Getafe",2019,71,2,"visitante"
"Gimnàstic",2006,46,3,"visitante"
"Girona",2017,59,0,"visitante"
"Girona",2018,43,1,"visitante"
"Goiás-GO",2013,0,0,NA
"Goiás-GO",2014,0,0,NA
"Goiás-GO",2015,0,0,NA
"Goiás-GO",2019,0,0,NA
"Goiás-GO",2020,0,0,NA
"Granada",2011,50,2,"visitante"
"Granada",2012,43,2,"visitante"
"Granada",2013,50,4,"visitante"
"Granada",2014,58,3,"visitante"
"Granada",2015,71,4,"visitante"
"Granada",2016,59,1,"visitante"
"Granada",2019,63,1,"visitante"
"Grêmio-RS",2012,0,0,NA
"Grêmio-RS",2013,0,0,NA
"Grêmio-RS",2014,0,0,NA
"Grêmio-RS",2015,0,0,NA
"Grêmio-RS",2016,0,0,NA
"Grêmio-RS",2017,0,0,NA
"Grêmio-RS",2018,0,0,NA
"Grêmio-RS",2019,0,0,NA
"Grêmio-RS",2020,0,0,NA
"Hellas Verona",2013,39,3,"visitante"
"Hellas Verona",2014,54,1,"visitante"
"Hellas Verona",2015,45,5,"visitante"
"Hellas Verona",2017,45,5,"visitante"
"Hellas Verona",2019,47,3,"visitante"
"Hellas Verona",2020,0,1,"visitante"
"Hercules",2010,55,3,"visitante"
"Huddersfield",2017,35,1,"visitante"
"Huddersfield",2018,28,1,"visitante"
"Huesca",2018,54,2,"visitante"
"Hull City|Hull",2008,43,0,"visitante"
"Hull City|Hull",2009,38,3,"visitante"
"Hull City|Hull",2013,28,3,"visitante"
"Hull City|Hull",2014,43,3,"visitante"
"Hull City|Hull",2016,35,3,"visitante"
"Internacional-RS",2012,0,0,NA
"Internacional-RS",2013,0,0,NA
"Internacional-RS",2014,0,0,NA
"Internacional-RS",2015,0,0,NA
"Internacional-RS",2016,0,0,NA
"Internacional-RS",2018,0,0,NA
"Internacional-RS",2019,0,0,NA
"Internacional-RS",2020,0,0,NA
"Internazionale",2006,44,5,"visitante"
"Internazionale",2007,37,3,"visitante"
"Internazionale",2008,37,3,"visitante"
"Internazionale",2009,50,3,"visitante"
"Internazionale",2010,34,2,"visitante"
"Internazionale",2011,35,1,"visitante"
"Internazionale",2012,45,3,"visitante"
"Internazionale",2013,38,2,"visitante"
"Internazionale",2014,55,3,"visitante"
"Internazionale",2015,42,7,"visitante"
"Internazionale",2016,42,4,"visitante"
"Internazionale",2017,40,0,"visitante"
"Internazionale",2018,42,2,"visitante"
"Internazionale",2019,53,3,"visitante"
"Internazionale",2020,3,0,"visitante"
"Joinville-SC",2015,0,0,NA
"Juventus",2007,50,3,"visitante"
"Juventus",2008,45,2,"visitante"
"Juventus",2009,52,3,"visitante"
"Juventus",2010,42,3,"visitante"
"Juventus",2011,40,2,"visitante"
"Juventus",2012,40,0,"visitante"
"Juventus",2013,40,1,"visitante"
"Juventus",2014,41,3,"visitante"
"Juventus",2015,49,5,"visitante"
"Juventus",2016,41,0,"visitante"
"Juventus",2017,36,1,"visitante"
"Juventus",2018,46,2,"visitante"
"Juventus",2019,49,2,"visitante"
"La Coruña",2006,44,6,"visitante"
"La Coruña",2007,46,3,"visitante"
"La Coruña",2008,42,2,"visitante"
"La Coruña",2009,35,6,"visitante"
"La Coruña",2010,47,3,"visitante"
"La Coruña",2012,45,3,"visitante"
"La Coruña",2014,55,1,"visitante"
"La Coruña",2015,39,1,"visitante"
"La Coruña",2016,52,4,"visitante"
"La Coruña",2017,44,0,"visitante"
"Las Palmas",2015,44,4,"visitante"
"Las Palmas",2016,52,3,"visitante"
"Las Palmas",2017,52,2,"visitante"
"Lázio",2006,42,7,"visitante"
"Lázio",2007,50,11,"visitante"
"Lázio",2008,44,2,"visitante"
"Lázio",2009,52,3,"visitante"
"Lázio",2010,40,6,"visitante"
"Lázio",2011,45,6,"visitante"
"Lázio",2012,37,7,"visitante"
"Lázio",2013,37,5,"visitante"
"Lázio",2014,59,4,"visitante"
"Lázio",2015,46,8,"visitante"
"Lázio",2016,49,1,"visitante"
"Lázio",2017,46,2,"visitante"
"Lázio",2018,52,1,"visitante"
"Lázio",2019,53,2,"visitante"
"Lázio",2020,2,0,"visitante"
"Lecce",2008,49,5,"visitante"
"Lecce",2010,46,4,"visitante"
"Lecce",2011,43,4,"visitante"
"Lecce",2019,52,4,"visitante"
"Leganés",2016,54,2,"visitante"
"Leganés",2017,65,2,"visitante"
"Leganés",2018,50,2,"visitante"
"Leganés",2019,67,2,"visitante"
"Leicester",2014,29,2,"visitante"
"Leicester",2015,31,2,"visitante"
"Leicester",2016,41,1,"visitante"
"Leicester",2017,30,3,"visitante"
"Leicester",2018,24,3,"visitante"
"Leicester",2019,22,2,"visitante"
"Levante",2006,63,3,"visitante"
"Levante",2007,50,0,"visitante"
"Levante",2010,64,2,"visitante"
"Levante",2011,59,2,"visitante"
"Levante",2012,61,4,"visitante"
